"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ps_record_id,prescreening,,text,"Record ID",,,,,,,,,,,,,
ps_date,prescreening,,text,"Date Of Participant Pre-screening",,,date_dmy,,,,,y,,,,,
ps_time,prescreening,,text,"Time Of Pre-Screening ",,,time,,,,,y,,,,,
ps_participant_name,prescreening,,text,"Participant Name",,,,,,,,y,,,,,
ps_participant_age,prescreening,"PRE-SCREENING QUESTIONNAIRE",text,"1. What Is Your Date Of Birth? ",,,date_dmy,,,,,y,,,,,"Must be 60 yrs or older"
ps_sex,prescreening,,radio,"2. Sex At Birth? ","1, Male | 2, Female",,,,,,,y,,,,,
ps_weight,prescreening,,text,"3. Approximately How Much Do You Weigh? ",,,,,,,,,,,,,"Must be > 110lbs."
ps_smoking,prescreening,,checkbox,"4. Do You Use Tobacco Or Marijuana Products? ","1, Tobacco Products | 2, Marijuana Products | 3, None Of These",,,,,,,y,,,,,"Should be None"
ps_etoh,prescreening,,yesno,"5. Do You Drink Alcohol? ",,,,,,,,y,,,,,
ps_etoh_yes,prescreening,,text,"5a. If Yes To Question 5, How Many Alcoholic Drinks Do You Consume In A Week? ",,,,,,,"[ps_etoh] = '1'",y,,,,,"(< 8 women) (< 15 men)  "
ps_exercising,prescreening,,yesno,"6. Do You Exercise At Least 3x A Week For 30mins Or More?  ",,,,,,,,y,,,,,
ps_exercise_yes,prescreening,,text,"6a. If Yes To Question 6, How Many Times Per Week? ",,,,,,,"[ps_exercising] = '1'",y,,,,,"Should be < 30 minutes, 3 times per week"
ps_exercise_yes2,prescreening,,text,"6b. How Long Each Time? ",,,,,,,"[ps_exercising] = '1'",y,,,,,"Should be < 30 minutes, 3 times per week"
ps_latex_allergy,prescreening,,yesno,"7. Are You Allergic To Latex?",,,,,,,,y,,,,,"Should be no"
ps_lcaine_allergy,prescreening,,yesno,"8. Are You Allergic To Lidocaine?",,,,,,,,y,,,,,
ps_diabetes,prescreening,,yesno,"9. Have You Been Diagnosed With Diabetes?",,,,,,,,y,,,,,"Should be no"
ps_ortho_complications,prescreening,,yesno,"10. Do You Have Any Medical Or Orthopedic Complications That Would Make It Dangerous For You To Participate In Cycling, Walking Or Hand Squeezing Exercises? ",,,,,,,,y,,,,,"Should be no"
ps_ortho_complications_yes,prescreening,,notes,"10a. If Yes To Question 10, Please Specify",,,,,,,"[ps_ortho_complications] = '1'",y,,,,,
ps_neuropathy,prescreening,,yesno,"11. Do You Have Peripheral Neuropathy?",,,,,,,,y,,,,,"Should be no"
