Variable...Field.Name,Form.Name,Section.Header,Field.Type,Field.Label,Choices..Calculations..OR.Slider.Labels,Field.Note,Text.Validation.Type.OR.Show.Slider.Number,Text.Validation.Min,Text.Validation.Max,Identifier.,Branching.Logic..Show.field.only.if....,Required.Field.,Custom.Alignment,Question.Number..surveys.only.,Matrix.Group.Name,Matrix.Ranking.,Field.Annotation
ps_record_id,prescreening,,text,Record id,,,,,,,,,,,,,
ps_date,prescreening,,text,Date of participant pre-screening,,,date_dmy,,,,,y,,,,,
ps_time,prescreening,,text,Time of pre-screening ,,,time,,,,,y,,,,,
ps_participant_name,prescreening,,text,Participant name,,,,,,,,y,,,,,
ps_participant_age,prescreening,PRE-SCREENING QUESTIONNAIRE,text,1. What is your date of birth? ,,,date_dmy,,,,,y,,,,,Must be 60 yrs or older
ps_sex,prescreening,,radio,2. Sex at birth? ,"1, Male | 2, Female",,,,,,,y,,,,,
ps_weight,prescreening,,text,3. Approximately how much do you weigh? ,,,,,,,,,,,,,Must be > 110lbs.
ps_smoking,prescreening,,checkbox,4. Do you use tobacco or marijuana products? ,"1, Tobacco Products | 2, Marijuana Products | 3, None Of These",,,,,,,y,,,,,Should be None
ps_etoh,prescreening,,yesno,5. Do you drink alcohol? ,,,,,,,,y,,,,,
ps_etoh_yes,prescreening,,text,"5a. If yes to question 5, how many alcoholic drinks do you consume in a week? ",,,,,,,[ps_etoh] = '1',y,,,,,(< 8 women) (< 15 men)  
ps_exercising,prescreening,,yesno,6. Do you exercise at least 3x a week for 30mins or more?  ,,,,,,,,y,,,,,
ps_exercise_yes,prescreening,,text,"6a. If yes to question 6, how many times per week? ",,,,,,,[ps_exercising] = '1',y,,,,,"Should be < 30 minutes, 3 times per week"
ps_exercise_yes2,prescreening,,text,6b. How long each time? ,,,,,,,[ps_exercising] = '1',y,,,,,"Should be < 30 minutes, 3 times per week"
ps_latex_allergy,prescreening,,yesno,7. Are you allergic to latex?,,,,,,,,y,,,,,Should be no
ps_lcaine_allergy,prescreening,,yesno,8. Are you allergic to lidocaine?,,,,,,,,y,,,,,
ps_diabetes,prescreening,,yesno,9. Have you been diagnosed with diabetes?,,,,,,,,y,,,,,Should be no
ps_ortho_complications,prescreening,,yesno,"10. Do you have any medical or orthopedic complications that would make it dangerous for you to participate in cycling, walking or hand squeezing exercises? ",,,,,,,,y,,,,,Should be no
ps_ortho_complications_yes,prescreening,,notes,"10a. If yes to question 10, please specify",,,,,,,[ps_ortho_complications] = '1',y,,,,,
ps_neuropathy,prescreening,,yesno,11. Do you have peripheral neuropathy?,,,,,,,,y,,,,,Should be no
ps_neuropathy_yes,prescreening,,notes,"11a. If yes, specify",,,,,,,[ps_neuropathy] = '1',y,,,,,
ps_healing,prescreening,,yesno,12. Do you have slow wound healing?,,,,,,,,y,,,,,
